Angle (deg),X Position (cm),Height (um)
42.486000,1.218486,37.812203
42.384000,1.218486,37.812203
42.285000,1.218486,37.812203
42.186000,1.220421,37.872232
42.087000,1.220421,37.872232
41.986000,1.223323,37.962275
41.883000,1.223323,37.962275
41.779000,1.224290,37.992290
41.679000,1.224290,37.992290
41.577000,1.225257,38.022304
41.479000,1.225257,38.022304
41.381000,1.225257,38.022304
41.287000,1.226224,38.052319
41.192000,1.226224,38.052319
41.096000,1.227191,38.082333
40.998000,1.226224,38.052319
40.901000,1.226224,38.052319
40.799000,1.226224,38.052319
40.692000,1.226224,38.052319
40.590000,1.228159,38.112348
40.490000,1.226224,38.052319
40.388000,1.228159,38.112348
40.289000,1.228159,38.112348
40.189000,1.226224,38.052319
40.090000,1.225257,38.022304
39.989000,1.225257,38.022304
39.887000,1.226224,38.052319
39.783000,1.225257,38.022304
39.682000,1.226224,38.052319
39.580000,1.225257,38.022304
39.482000,1.225257,38.022304
39.383000,1.224290,37.992290
39.289000,1.225257,38.022304
39.194000,1.224290,37.992290
39.099000,1.224290,37.992290
39.002000,1.223323,37.962275
38.903000,1.223323,37.962275
38.800000,1.222355,37.932261
38.693000,1.222355,37.932261
38.590000,1.222355,37.932261
38.491000,1.222355,37.932261
38.390000,1.221388,37.902246
38.290000,1.221388,37.902246
38.191000,1.222355,37.932261
38.092000,1.221388,37.902246
37.991000,1.220421,37.872232
37.889000,1.220421,37.872232
37.785000,1.218486,37.812203
37.685000,1.218486,37.812203
37.583000,1.219454,37.842217
37.484000,1.218486,37.812203
37.386000,1.217519,37.782189
37.291000,1.216552,37.752174
37.196000,1.216552,37.752174
37.101000,1.214618,37.692145
37.004000,1.215585,37.722160
36.905000,1.212683,37.632116
36.804000,1.213650,37.662131
36.696000,1.213650,37.662131
36.593000,1.212683,37.632116
36.494000,1.212683,37.632116
36.392000,1.211716,37.602102
36.293000,1.209782,37.542073
36.193000,1.208814,37.512059
36.094000,1.208814,37.512059
35.992000,1.206880,37.452030
35.891000,1.206880,37.452030
35.786000,1.206880,37.452030
35.686000,1.204946,37.392001
35.583000,1.204946,37.392001
35.485000,1.203978,37.361986
35.386000,1.202044,37.301957
35.291000,1.202044,37.301957
35.198000,1.200110,37.241928
35.103000,1.200110,37.241928
35.007000,1.198175,37.181900
34.908000,1.196241,37.121871
34.805000,1.196241,37.121871
34.697000,1.187536,36.851741
34.594000,1.182700,36.701668
34.495000,1.174962,36.461553
34.394000,1.166257,36.191423
34.294000,1.162389,36.071365
34.194000,1.160454,36.011336
34.095000,1.157552,35.921293
33.994000,1.157552,35.921293
33.892000,1.156585,35.891278
33.789000,1.155618,35.861264
33.688000,1.155618,35.861264
33.585000,1.148848,35.651163
33.486000,1.136274,35.260975
33.387000,1.124667,34.900801
33.291000,1.110159,34.450585
33.198000,1.096619,34.030382
33.102000,0.981521,30.458663
33.006000,0.985390,30.578721
32.907000,0.986357,30.608735
32.806000,0.986357,30.608735
32.699000,0.987324,30.638749
32.597000,0.985390,30.578721
32.498000,0.986357,30.608735
32.396000,0.985390,30.578721
32.296000,0.986357,30.608735
32.195000,0.985390,30.578721
32.096000,0.987324,30.638749
31.994000,0.987324,30.638749
31.892000,0.986357,30.608735
31.787000,0.986357,30.608735
31.686000,0.985390,30.578721
31.585000,0.986357,30.608735
31.487000,0.986357,30.608735
31.389000,0.987324,30.638749
31.295000,0.987324,30.638749
31.202000,0.986357,30.608735
31.105000,0.985390,30.578721
31.008000,0.985390,30.578721
30.908000,0.986357,30.608735
30.806000,0.986357,30.608735
30.700000,0.986357,30.608735
30.598000,0.986357,30.608735
30.499000,0.986357,30.608735
30.397000,0.987324,30.638749
30.297000,0.986357,30.608735
30.198000,0.987324,30.638749
30.098000,0.986357,30.608735
