Angle (deg)	X Position (cm)	Height (um)
-9.843750	14.925000	1017.000000
-9.843750	14.823000	1019.000000
-9.843750	14.719000	1022.000000
-9.843750	14.613000	1023.000000
-9.843750	14.513000	1024.000000
-9.843750	14.413000	1028.000000
-9.843750	14.314000	1029.000000
-9.843750	14.214000	1033.000000
-9.843750	14.115000	1034.000000
-9.843750	14.013000	1036.000000
-9.843750	13.911000	1041.000000
-9.843750	13.811000	1041.000000
-9.843750	13.711000	1043.000000
-9.843750	13.612000	1045.000000
-9.843750	13.512000	1046.000000
-9.843750	13.412000	1050.000000
-9.843750	13.312000	1053.000000
-9.843750	13.215000	1056.000000
-9.843750	13.121000	1059.000000
-9.843750	13.023000	1060.000000
-9.843750	12.926000	1065.000000
-9.843750	12.825000	1066.000000
-9.843750	12.722000	1068.000000
-9.843750	12.617000	1072.000000
-9.843750	12.516000	1075.000000
-9.843750	12.416000	1077.000000
-9.843750	12.317000	1078.000000
-9.843750	12.216000	1082.000000
-9.843750	12.117000	1084.000000
-9.843750	12.014000	1084.000000
-9.843750	11.913000	1088.000000
-9.843750	11.814000	1092.000000
-9.843750	11.715000	1096.000000
-9.843750	11.615000	1098.000000
-9.843750	11.515000	1101.000000
-9.843750	11.414000	1104.000000
-9.843750	11.315000	1104.000000
-9.843750	11.219000	1179.000000
-9.843750	11.125000	1179.000000
-9.843750	11.028000	1178.000000
-9.843750	10.930000	1179.000000
-9.843750	10.830000	1180.000000
-9.843750	10.727000	1177.000000
-9.843750	10.622000	1178.000000
-9.843750	10.519000	1176.000000
-9.843750	10.419000	1177.000000
-9.843750	10.320000	1177.000000
-9.843750	10.220000	1177.000000
-9.843750	10.121000	1177.000000
-9.843750	10.018000	1178.000000
-9.843750	9.917000	1178.000000
-9.843750	9.818000	1176.000000
-9.843750	9.718000	1176.000000
-9.843750	9.619000	1178.000000
-9.843750	9.519000	1177.000000
-9.843750	9.419000	1176.000000
-9.843750	9.320000	1176.000000
-9.843750	9.225000	772.000000
-9.843750	9.132000	767.000000
-9.843750	9.034000	765.000000
-9.843750	8.937000	765.000000
-9.843750	8.838000	765.000000
-9.843750	8.736000	765.000000
-9.843750	8.632000	763.000000
-9.843750	8.529000	764.000000
-9.843750	8.426000	765.000000
-9.843750	8.325000	764.000000
-9.843750	8.224000	764.000000
-9.843750	8.124000	762.000000
-9.843750	8.021000	764.000000
-9.843750	7.920000	765.000000
-9.843750	7.820000	765.000000
-9.843750	7.720000	764.000000
-9.843750	7.620000	765.000000
-9.843750	7.520000	764.000000
-9.843750	7.421000	763.000000
-9.843750	7.321000	764.000000
-9.843750	7.227000	765.000000
-9.843750	7.133000	764.000000
-9.843750	7.037000	765.000000
-9.843750	6.939000	764.000000
-9.843750	6.841000	764.000000
-9.843750	6.740000	764.000000
-9.843750	6.636000	765.000000
-9.843750	6.531000	764.000000
-9.843750	6.428000	764.000000
-9.843750	6.325000	764.000000
-9.843750	6.223000	764.000000
-9.843750	6.124000	764.000000
-9.843750	6.023000	764.000000
-9.843750	5.922000	765.000000
-9.843750	5.821000	764.000000
-9.843750	5.722000	765.000000
-9.843750	5.622000	764.000000
-9.843750	5.521000	765.000000
-9.843750	5.420000	763.000000
-9.843750	5.319000	765.000000
-9.843750	5.225000	763.000000
-9.843750	5.132000	764.000000
-9.843750	5.036000	764.000000
-9.843750	4.939000	765.000000
-9.843750	4.839000	765.000000
-9.843750	4.741000	764.000000
-9.843750	4.638000	765.000000
-9.843750	4.533000	764.000000
-9.843750	4.428000	764.000000
-9.843750	4.326000	765.000000
-9.843750	4.225000	763.000000
-9.843750	4.127000	766.000000
-9.843750	4.025000	764.000000
-9.843750	3.923000	764.000000
-9.843750	3.822000	764.000000
-9.843750	3.723000	765.000000
-9.843750	3.623000	766.000000
-9.843750	3.523000	765.000000
-9.843750	3.423000	765.000000
-9.843750	3.325000	765.000000
-9.843750	3.230000	763.000000
-9.843750	3.136000	765.000000
-9.843750	3.039000	764.000000
-9.843750	2.942000	765.000000
-9.843750	2.842000	764.000000
-9.843750	2.742000	764.000000
-9.843750	2.640000	764.000000
-9.843750	2.536000	765.000000
-9.843750	2.432000	764.000000
-9.843750	2.329000	764.000000
-9.843750	2.229000	764.000000
-9.843750	2.130000	764.000000
-9.843750	2.028000	764.000000
