X Position,Angle (deg),Height (mm)
85.973,-28.320798,25.668475
85.736,-28.276296,25.628141
85.497,-28.298547,25.648308
85.254,-28.320798,25.668475
85.02,-28.276296,25.628141
84.777,-28.276296,25.628141
84.531,-28.298547,25.648308
84.292,-28.254045,25.607974
84.054,-17.996434,16.311017
83.816,-17.929681,16.250516
83.578,-17.951932,16.270683
83.337,-17.951932,16.270683
83.099,-17.951932,16.270683
82.86,-17.90743,16.230349
82.613,-17.929681,16.250516
82.372,-17.951932,16.270683
82.135,-17.951932,16.270683
81.897,-17.951932,16.270683
81.659,-17.951932,16.270683
81.418,-17.929681,16.250516
81.178,-17.90743,16.230349
80.941,-17.88518,16.210182
80.696,-17.88518,16.210182
80.452,-17.951932,16.270683
80.214,-17.951932,16.270683
79.977,-17.929681,16.250516
79.738,-17.929681,16.250516
79.499,-17.90743,16.230349
79.256,-17.996434,16.311017
79.022,-17.90743,16.230349
78.779,-17.974183,16.29085
78.534,-17.951932,16.270683
78.295,-17.951932,16.270683
78.058,-17.951932,16.270683
77.82,-17.929681,16.250516
77.582,-17.90743,16.230349
77.339,-17.90743,16.230349
77.102,-17.929681,16.250516
76.866,-17.951932,16.270683
76.62,-17.951932,16.270683
76.378,-17.974183,16.29085
76.14,-17.88518,16.210182
75.902,-17.90743,16.230349
75.664,-17.929681,16.250516
75.423,-17.974183,16.29085
75.182,-17.974183,16.29085
74.946,-17.929681,16.250516
74.702,-17.929681,16.250516
74.461,-17.90743,16.230349
74.223,-17.951932,16.270683
73.984,-17.951932,16.270683
73.745,-17.929681,16.250516
73.505,-17.951932,16.270683
73.263,-17.929681,16.250516
73.03,-17.929681,16.250516
72.788,-17.90743,16.230349
72.542,-17.929681,16.250516
72.304,-17.929681,16.250516
72.067,-17.951932,16.270683
71.826,-17.951932,16.270683
71.588,-17.951932,16.270683
71.347,-17.862929,16.190015
71.11,-17.951932,16.270683
70.872,-17.951932,16.270683
70.627,-17.974183,16.29085
70.385,-17.974183,16.29085
70.147,-18.040935,16.351351
69.908,-18.063186,16.371517
69.669,-18.018684,16.331184
69.429,-18.018684,16.331184
69.188,-18.018684,16.331184
68.954,-18.040935,16.351351
68.709,-17.974183,16.29085
68.464,-17.974183,16.29085
68.226,-17.90743,16.230349
67.988,-17.951932,16.270683
67.749,-17.929681,16.250516
67.509,-18.107688,16.411851
67.267,-17.951932,16.270683
67.034,-17.929681,16.250516
66.792,-17.929681,16.250516
66.546,-17.88518,16.210182
66.307,-17.862929,16.190015
66.069,-17.929681,16.250516
65.828,-17.951932,16.270683
65.591,-17.974183,16.29085
65.35,-18.018684,16.331184
65.113,-18.018684,16.331184
64.874,-17.996434,16.311017
64.628,-17.929681,16.250516
64.387,-17.929681,16.250516
64.15,-17.929681,16.250516
63.91,-17.929681,16.250516
63.671,-17.90743,16.230349
63.43,-17.974183,16.29085
63.19,-17.974183,16.29085
62.956,-17.951932,16.270683
62.713,-17.951932,16.270683
62.47,-17.996434,16.311017
62.233,-17.951932,16.270683
61.993,-17.996434,16.311017
61.754,-17.996434,16.311017
61.514,-17.974183,16.29085
61.271,-17.90743,16.230349
61.037,-17.996434,16.311017
60.796,-17.974183,16.29085
60.554,-17.996434,16.311017
60.315,-17.90743,16.230349
60.076,-17.951932,16.270683
59.835,-17.929681,16.250516
59.597,-17.929681,16.250516
59.356,-18.018684,16.331184
59.119,-17.996434,16.311017
58.883,-17.996434,16.311017
58.64,-17.929681,16.250516
58.398,-17.929681,16.250516
58.16,-17.951932,16.270683
57.919,-17.951932,16.270683
57.68,-17.929681,16.250516
57.441,-17.951932,16.270683
57.2,-17.90743,16.230349
56.97,-17.929681,16.250516
56.731,-18.018684,16.331184
56.482,-17.974183,16.29085
56.242,-17.951932,16.270683
56.003,-18.018684,16.331184
55.764,-17.929681,16.250516
55.524,-17.974183,16.29085
55.281,-17.90743,16.230349
55.051,-17.974183,16.29085
54.814,-17.951932,16.270683
54.573,-17.996434,16.311017
54.326,-17.951932,16.270683
54.088,-17.90743,16.230349
53.847,-17.951932,16.270683
53.607,-18.018684,16.331184
53.366,-17.996434,16.311017
53.129,-17.951932,16.270683
52.895,-17.951932,16.270683
52.655,-17.974183,16.29085
52.406,-17.929681,16.250516
52.166,-18.018684,16.331184
51.926,-17.996434,16.311017
51.687,-18.018684,16.331184
51.447,-17.974183,16.29085
51.207,-17.951932,16.270683
50.976,-18.018684,16.331184
50.737,-17.951932,16.270683
50.491,-17.996434,16.311017
50.249,-17.996434,16.311017
50.009,-17.996434,16.311017
49.767,-17.929681,16.250516
49.527,-17.951932,16.270683
49.284,-17.951932,16.270683
49.054,-17.951932,16.270683
48.821,-17.951932,16.270683
48.579,-17.996434,16.311017
48.335,-17.974183,16.29085
48.097,-17.951932,16.270683
47.858,-17.90743,16.230349
47.618,-17.840678,16.169848
47.375,-17.996434,16.311017
47.14,-18.018684,16.331184
46.907,-17.996434,16.311017
46.672,-18.063186,16.371517
46.423,-17.996434,16.311017
46.18,-17.974183,16.29085
45.938,-17.974183,16.29085
45.698,-17.951932,16.270683
45.458,-17.996434,16.311017
45.22,-17.996434,16.311017
44.992,-18.040935,16.351351
44.754,-17.996434,16.311017
44.51,-17.996434,16.311017
44.26,-18.040935,16.351351
44.017,-17.996434,16.311017
43.774,-17.996434,16.311017
43.536,-17.996434,16.311017
43.294,-17.951932,16.270683
43.063,-18.018684,16.331184
42.828,-18.018684,16.331184
42.578,-18.040935,16.351351
42.339,-18.018684,16.331184
42.1,-17.974183,16.29085
41.859,-17.996434,16.311017
41.619,-18.018684,16.331184
41.378,-18.040935,16.351351
41.143,-18.018684,16.331184
40.907,-17.996434,16.311017
40.663,-17.996434,16.311017
40.42,-17.996434,16.311017
40.182,-18.085437,16.391684
39.94,-18.018684,16.331184
39.7,-18.018684,16.331184
39.461,-18.063186,16.371517
39.221,-18.018684,16.331184
38.991,-17.974183,16.29085
38.75,-18.018684,16.331184
38.501,-18.17444,16.472352
38.264,-18.063186,16.371517
38.023,-18.040935,16.351351
37.783,-18.063186,16.371517
37.545,-18.040935,16.351351
37.302,-18.040935,16.351351
37.072,-18.040935,16.351351
36.835,-18.040935,16.351351
36.591,-17.996434,16.311017
36.347,-18.018684,16.331184
36.106,-18.085437,16.391684
35.864,-18.040935,16.351351
35.625,-18.040935,16.351351
35.384,-18.17444,16.472352
35.149,-17.996434,16.311017
34.919,-18.018684,16.331184
34.675,-17.996434,16.311017
34.428,-18.085437,16.391684
34.189,-17.996434,16.311017
33.948,-18.018684,16.331184
33.709,-18.018684,16.331184
33.469,-18.018684,16.331184
33.229,-18.085437,16.391684
33,-18.063186,16.371517
32.763,-18.040935,16.351351
32.513,-18.040935,16.351351
32.273,-18.040935,16.351351
32.031,-18.018684,16.331184
31.791,-17.996434,16.311017
31.552,-18.018684,16.331184
31.311,-18.018684,16.331184
31.083,-18.063186,16.371517
30.849,-18.152189,16.452185
30.609,-18.063186,16.371517
30.359,-18.040935,16.351351
30.117,-18.040935,16.351351
29.872,-18.085437,16.391684
29.634,-18.018684,16.331184
29.394,-17.996434,16.311017
29.161,-17.996434,16.311017
28.931,-17.996434,16.311017
28.69,-18.018684,16.331184
28.44,-17.974183,16.29085
28.2,-17.974183,16.29085
27.959,-18.085437,16.391684
27.719,-17.951932,16.270683
27.479,-17.951932,16.270683
27.24,-18.018684,16.331184
27.011,-18.018684,16.331184
26.775,-17.951932,16.270683
26.524,-17.862929,16.190015
26.281,-17.929681,16.250516
26.04,-17.929681,16.250516
25.799,-18.040935,16.351351
25.559,-18.063186,16.371517
25.317,-18.063186,16.371517
25.092,-18.040935,16.351351
24.857,-18.063186,16.371517
24.612,-18.040935,16.351351
24.36,-17.996434,16.311017
24.121,-17.996434,16.311017
23.878,-17.996434,16.311017
23.64,-18.018684,16.331184
23.399,-17.996434,16.311017
23.166,-18.040935,16.351351
22.932,-18.063186,16.371517
22.69,-18.063186,16.371517
22.441,-18.063186,16.371517
22.201,-18.063186,16.371517
21.957,-18.107688,16.411851
21.717,-18.063186,16.371517
21.477,-18.063186,16.371517
21.238,-18.063186,16.371517
21.012,-18.063186,16.371517
20.77,-18.040935,16.351351
20.52,-17.929681,16.250516
20.28,-17.996434,16.311017
20.039,-18.085437,16.391684
19.798,-18.040935,16.351351
19.558,-18.040935,16.351351
19.316,-18.085437,16.391684
19.086,-18.107688,16.411851
18.85,-18.063186,16.371517
18.603,-18.085437,16.391684
18.36,-18.063186,16.371517
18.119,-18.063186,16.371517
17.877,-18.040935,16.351351
17.639,-18.085437,16.391684
17.401,-18.085437,16.391684
17.169,-18.063186,16.371517
16.935,-18.085437,16.391684
16.693,-18.107688,16.411851
16.445,-18.040935,16.351351
16.205,-17.996434,16.311017
15.962,-18.018684,16.331184
15.723,-18.129938,16.432018
15.484,-18.063186,16.371517
15.246,-18.129938,16.432018
15.019,-18.018684,16.331184
14.781,-17.996434,16.311017
14.528,-18.018684,16.331184
14.286,-18.063186,16.371517
14.045,-18.063186,16.371517
13.802,-18.129938,16.432018
13.563,-17.974183,16.29085
13.323,-18.085437,16.391684
13.096,-18.085437,16.391684
12.863,-18.040935,16.351351
12.617,-18.085437,16.391684
12.37,-18.063186,16.371517
12.128,-18.063186,16.371517
11.884,-18.063186,16.371517
11.646,-18.063186,16.371517
11.405,-18.063186,16.371517
11.175,-18.040935,16.351351
10.945,-18.040935,16.351351
10.705,-18.063186,16.371517
10.454,-18.063186,16.371517
10.211,-18.040935,16.351351
9.969,-18.040935,16.351351
9.73,-18.040935,16.351351
9.491,-18.063186,16.371517
9.254,-18.107688,16.411851
9.026,-28.320798,25.668475
8.79,-28.365299,25.708809
8.542,-28.365299,25.708809
8.294,-28.343048,25.688642
8.054,-28.343048,25.688642
7.811,-28.343048,25.688642
7.573,-28.365299,25.708809
7.334,-28.343048,25.688642
7.107,-28.365299,25.708809
6.874,-28.365299,25.708809
6.633,-28.365299,25.708809
6.383,-28.365299,25.708809
6.14,-28.343048,25.688642
5.897,-28.343048,25.688642
6.798,-27.438589,26.609434
7.04,-27.438589,26.609434
7.283,-27.460147,26.630341
7.529,-27.460147,26.630341
7.77,-27.460147,26.630341
8.016,-27.460147,26.630341
8.254,-27.460147,26.630341
8.479,-27.460147,26.630341
8.715,-27.460147,26.630341
8.959,-27.438589,26.609434
9.201,-27.352359,26.525809
9.443,-17.328047,16.804418
9.693,-17.371162,16.84623
9.939,-17.349604,16.825324
10.182,-17.349604,16.825324
10.41,-17.522065,16.992574
10.636,-17.414277,16.888043
10.882,-17.435835,16.908949
11.122,-17.414277,16.888043
11.369,-17.414277,16.888043
11.618,-17.371162,16.84623
11.859,-17.349604,16.825324
12.106,-17.435835,16.908949
12.338,-17.500508,16.971668
12.559,-17.522065,16.992574
12.8,-17.457392,16.929855
13.041,-17.39272,16.867136
13.289,-17.39272,16.867136
13.539,-17.414277,16.888043
13.776,-17.39272,16.867136
14.027,-17.414277,16.888043
14.268,-17.435835,16.908949
14.489,-17.371162,16.84623
