Angle (deg),X Position (cm),Height (um)
0.000000,56.825000,932.000000
0.000000,56.992000,930.000000
0.000000,57.159000,928.000000
0.000000,57.318000,926.000000
0.000000,57.481000,923.000000
0.000000,57.641000,921.000000
0.000000,57.806000,919.000000
0.000000,57.974000,915.000000
0.000000,58.134000,913.000000
0.000000,58.296000,911.000000
0.000000,58.451000,908.000000
0.000000,58.598000,905.000000
0.000000,58.760000,902.000000
0.000000,58.919000,900.000000
0.000000,59.078000,897.000000
0.000000,59.238000,894.000000
0.000000,59.397000,891.000000
0.000000,59.561000,888.000000
0.000000,59.718000,886.000000
0.000000,59.887000,884.000000
0.000000,60.048000,880.000000
0.000000,60.211000,876.000000
0.000000,60.369000,873.000000
0.000000,60.521000,872.000000
0.000000,60.672000,870.000000
0.000000,60.837000,867.000000
0.000000,60.993000,865.000000
0.000000,61.155000,864.000000
0.000000,61.315000,861.000000
0.000000,61.481000,860.000000
0.000000,61.637000,856.000000
0.000000,61.800000,854.000000
0.000000,61.967000,853.000000
0.000000,62.128000,851.000000
0.000000,62.289000,848.000000
0.000000,62.444000,846.000000
0.000000,62.593000,844.000000
0.000000,62.755000,843.000000
0.000000,62.912000,839.000000
0.000000,63.071000,839.000000
0.000000,63.232000,838.000000
0.000000,63.392000,836.000000
0.000000,63.557000,834.000000
0.000000,63.715000,833.000000
0.000000,63.884000,831.000000
0.000000,64.046000,830.000000
0.000000,64.208000,828.000000
0.000000,64.365000,827.000000
0.000000,64.516000,827.000000
0.000000,64.669000,825.000000
0.000000,64.833000,824.000000
0.000000,64.989000,822.000000
0.000000,65.152000,820.000000
0.000000,65.313000,820.000000
0.000000,65.477000,819.000000
0.000000,65.635000,818.000000
0.000000,65.797000,817.000000
0.000000,65.964000,815.000000
0.000000,66.124000,814.000000
0.000000,66.285000,814.000000
0.000000,66.440000,813.000000
0.000000,66.588000,813.000000
0.000000,66.751000,812.000000
0.000000,66.910000,812.000000
0.000000,67.069000,811.000000
0.000000,67.229000,811.000000
0.000000,67.389000,810.000000
0.000000,67.554000,809.000000
0.000000,67.711000,810.000000
0.000000,67.880000,810.000000
0.000000,68.041000,809.000000
0.000000,68.203000,808.000000
0.000000,68.361000,809.000000
0.000000,68.510000,808.000000
0.000000,68.663000,808.000000
0.000000,68.829000,809.000000
0.000000,68.987000,808.000000
0.000000,69.149000,807.000000
0.000000,69.308000,807.000000
0.000000,69.473000,808.000000
0.000000,69.630000,808.000000
0.000000,69.794000,809.000000
0.000000,69.960000,809.000000
0.000000,70.120000,809.000000
0.000000,70.281000,810.000000
0.000000,70.437000,810.000000
0.000000,70.583000,810.000000
0.000000,70.747000,809.000000
0.000000,70.905000,811.000000
0.000000,71.065000,811.000000
0.000000,71.225000,811.000000
0.000000,71.384000,813.000000
0.000000,71.548000,812.000000
0.000000,71.705000,814.000000
0.000000,71.875000,814.000000
0.000000,72.037000,815.000000
0.000000,72.198000,816.000000
0.000000,72.356000,817.000000
0.000000,72.504000,817.000000
0.000000,72.658000,818.000000
0.000000,72.824000,820.000000
0.000000,72.981000,821.000000
0.000000,73.143000,821.000000
0.000000,73.302000,824.000000
0.000000,73.466000,825.000000
0.000000,73.624000,824.000000
0.000000,73.787000,826.000000
0.000000,73.954000,827.000000
0.000000,74.114000,829.000000
0.000000,74.275000,830.000000
0.000000,74.428000,833.000000
0.000000,74.575000,833.000000
0.000000,74.738000,833.000000
0.000000,74.899000,836.000000
0.000000,75.060000,837.000000
0.000000,75.220000,839.000000
0.000000,75.380000,841.000000
0.000000,75.544000,843.000000
0.000000,75.700000,845.000000
0.000000,75.870000,845.000000
0.000000,76.031000,848.000000
0.000000,76.193000,851.000000
0.000000,76.351000,853.000000
0.000000,76.501000,853.000000
