X,Y,Z
66.91,34.55855856,0
67.069,34.58858859,0
67.229,34.58858859,0
67.389,34.61861862,0
67.554,34.64864865,0
67.711,34.61861862,0
67.88,34.61861862,0
68.041,34.64864865,0
68.203,34.67867868,0
68.361,34.64864865,0
68.51,34.67867868,0
68.663,34.67867868,0
68.829,34.64864865,0
68.987,34.67867868,0
69.149,34.70870871,0
69.308,34.70870871,0
69.473,34.67867868,0
69.63,34.67867868,0
69.794,34.64864865,0
69.96,34.64864865,0
70.12,34.64864865,0
70.281,34.61861862,0
70.437,34.61861862,0
70.583,34.61861862,0
70.747,34.64864865,0
70.905,34.58858859,0
71.065,34.58858859,0
71.225,34.58858859,0
71.384,34.52852853,0
71.548,34.55855856,0
71.705,34.4984985,0
71.875,34.4984985,0
72.037,34.46846847,0
72.198,34.43843844,0
72.356,34.40840841,0
72.504,34.40840841,0
72.658,34.37837838,0
72.824,34.31831832,0
72.981,34.28828829,0
73.143,34.28828829,0
73.302,34.1981982,0
73.466,34.16816817,0
73.624,34.1981982,0
73.787,34.13813814,0
73.954,34.10810811,0
74.114,34.04804805,0
74.275,34.01801802,0
74.428,33.92792793,0
74.575,33.92792793,0
74.738,33.92792793,0
74.899,33.83783784,0
75.06,33.80780781,0
75.22,33.74774775,0
75.38,33.68768769,0
75.544,33.62762763,0
75.7,33.56756757,0
75.87,33.56756757,0
76.031,33.47747748,0
76.193,33.38738739,0
76.351,33.32732733,0
76.501,33.32732733,0
76.654,33.23723724,0
76.819,33.14714715,0
76.976,33.11711712,0
77.138,33.05705706,0
77.298,32.996997,0
77.464,32.90690691,0
77.62,32.81681682,0
77.783,32.75675676,0
77.951,32.6966967,0
78.111,32.60660661,0
78.271,32.51651652,0
78.425,32.42642643,0
78.574,32.33633634,0
78.737,32.24624625,0
78.897,32.21621622,0
79.057,32.0960961,0
79.218,32.00600601,0
79.377,31.91591592,0
79.541,31.7957958,0
79.698,31.73573574,0
79.867,31.61561562,0
80.029,31.4954955,0
80.191,31.43543544,0
80.348,31.31531532,0
80.498,31.1951952,0
80.652,31.10510511,0
80.816,30.98498498,0
80.974,30.86486486,0
81.136,30.74474474,0
81.296,30.62462462,0
81.461,30.53453453,0
81.617,30.41441441,0
81.78,30.26426426,0
81.947,30.14414414,0
82.108,30.02402402,0
82.269,29.93393393,0
82.423,29.78378378,0
82.57,29.72372372,0
82.733,29.03303303,0
82.892,29.48348348,0
83.054,29.39339339,0
83.214,28.28228228,0
83.373,28.04204204,0
83.537,28.01201201,0
83.693,28.07207207,0
83.863,28.01201201,0
84.024,28.01201201,0
84.185,28.01201201,0
84.342,35.81981982,0
84.492,35.87987988,0
84.647,35.93993994,0
84.812,35.93993994,0
84.969,35.96996997,0
85.13,35.93993994,0
85.289,35.93993994,0
85.453,35.93993994,0
85.609,35.96996997,0
85.773,36,0
85.939,35.90990991,0
86.1,35.93993994,0
86.26,35.96996997,0
86.411,35.93993994,0
86.56,35.90990991,0
86.725,35.93993994,0
86.885,35.93993994,0
87.046,35.93993994,0
87.206,35.93993994,0
4.348,36.0249008,0.607936227
4.513,36.0249008,0.607936227
4.68,35.99487504,0.607429529
4.842,35.96484929,0.606922831
4.999,36.0249008,0.607936227
5.153,36.0249008,0.607936227
5.305,35.99487504,0.607429529
5.464,35.99487504,0.607429529
5.624,36.0249008,0.607936227
5.784,35.99487504,0.607429529
5.944,36.0249008,0.607936227
6.106,35.99487504,0.607429529
6.266,36.0249008,0.607936227
6.428,36.0249008,0.607936227
6.595,35.99487504,0.607429529
6.762,35.99487504,0.607429529
6.922,36.0249008,0.607936227
7.077,35.99487504,0.607429529
7.227,35.99487504,0.607429529
7.381,36.0249008,0.607936227
7.541,36.0249008,0.607936227
7.701,35.99487504,0.607429529
7.861,35.99487504,0.607429529
8.022,35.99487504,0.607429529
8.184,36.05492655,0.608442925
8.345,36.0249008,0.607936227
8.507,36.0249008,0.607936227
8.676,36.0249008,0.607936227
8.838,35.99487504,0.607429529
8.996,35.99487504,0.607429529
9.15,35.87477202,0.605402737
9.3,28.4884363,0.480755036
9.46,28.45841055,0.480248338
9.621,28.45841055,0.480248338
9.781,28.4884363,0.480755036
9.939,28.4884363,0.480755036
10.101,28.4884363,0.480755036
10.262,28.45841055,0.480248338
10.422,28.4884363,0.480755036
10.586,28.45841055,0.480248338
10.752,28.45841055,0.480248338
10.912,28.42838479,0.47974164
11.07,28.33830753,0.478221546
11.223,28.21820451,0.476194754
11.377,28.18817875,0.475688056
11.538,29.98972405,0.506089935
11.697,30.07980132,0.507610029
11.857,30.19990434,0.509636821
12.018,30.32000736,0.511663613
12.181,30.44011038,0.513690404
12.341,30.59023915,0.516223894
12.501,30.71034217,0.518250686
12.668,30.86047095,0.520784176
12.834,31.01059972,0.523317666
12.992,31.10067699,0.52483776
13.146,31.19075425,0.526357854
13.297,31.28083151,0.527877948
13.457,31.43096029,0.530411438
13.617,31.52103755,0.531931531
13.777,31.58108906,0.532944927
13.937,31.67116633,0.534465021
14.099,31.85132086,0.537505209
14.261,31.91137237,0.538518605
14.421,32.06150114,0.541052095
14.586,32.15157841,0.542572189
14.752,32.21162992,0.543585585
14.913,32.33173294,0.545612377
15.068,32.39178445,0.546625773
15.219,32.51188747,0.548652565
15.375,32.63199049,0.550679356
15.536,32.66201624,0.551186054
15.695,32.72206775,0.55219945
15.855,32.84217077,0.554226242
16.016,32.87219653,0.55473294
16.179,32.96227379,0.556253034
16.34,33.0223253,0.55726643
16.501,33.11240257,0.558786524
16.67,33.20247983,0.560306618
16.83,33.2925571,0.561826712
16.987,33.35260861,0.562840108
17.141,33.41266012,0.563853504
17.293,33.47271163,0.5648669
17.453,33.56278889,0.566386994
17.613,33.59281465,0.566893692
17.772,33.65286616,0.567907087
17.932,33.74294342,0.569427181
18.095,33.77296918,0.569933879
18.256,33.83302069,0.570947275
18.417,33.8930722,0.571960671
18.575,33.95312371,0.572974067
18.741,33.98314946,0.573480765
18.902,34.04320097,0.574494161
19.061,34.10325248,0.575507557
19.213,34.13327824,0.576014255
19.37,34.16330399,0.576520953
19.532,34.25338126,0.578041047
19.693,34.28340701,0.578547745
19.852,34.34345852,0.579561141
20.012,34.34345852,0.579561141
20.174,34.43353579,0.581081235
20.335,34.43353579,0.581081235
20.494,34.46356154,0.581587933
20.66,34.4935873,0.582094631
20.825,34.55363881,0.583108027
20.985,34.55363881,0.583108027
21.139,34.58366456,0.583614725
21.291,34.61369032,0.584121423
21.453,34.61369032,0.584121423
21.613,34.64371607,0.584628121
21.773,34.70376758,0.585641517
21.932,34.73379333,0.586148214
22.093,34.76381909,0.586654912
22.254,34.79384484,0.58716161
22.415,34.79384484,0.58716161
22.577,34.8238706,0.587668308
22.744,34.85389635,0.588175006
22.904,34.8238706,0.587668308
23.063,34.85389635,0.588175006
23.214,34.85389635,0.588175006
23.371,34.88392211,0.588681704
23.532,34.88392211,0.588681704
23.693,34.91394786,0.589188402
23.851,34.91394786,0.589188402
24.013,34.88392211,0.588681704
24.175,34.91394786,0.589188402
24.337,34.91394786,0.589188402
24.495,34.91394786,0.589188402
24.664,34.94397362,0.5896951
24.825,34.94397362,0.5896951
24.983,34.94397362,0.5896951
25.139,34.94397362,0.5896951
25.289,34.94397362,0.5896951
25.451,34.94397362,0.5896951
25.612,34.91394786,0.589188402
25.772,34.91394786,0.589188402
25.931,34.91394786,0.589188402
26.093,34.91394786,0.589188402
26.253,34.91394786,0.589188402
26.413,34.88392211,0.588681704
26.574,34.85389635,0.588175006
26.74,34.88392211,0.588681704
26.902,34.85389635,0.588175006
